deferred_threshold,pending_threshold,avg_tok_s,status,compile_ms,run_ms,run_log,run_dir
24,16,3610.537,unstable,445,5257,perf/run-20260228T000249Z.log,runs/compiled-binary-helios-20260228T000249Z
24,20,3825.463,unstable,327,5040,perf/run-20260228T000255Z.log,runs/compiled-binary-helios-20260228T000255Z
24,24,3757.803,unstable,309,5075,perf/run-20260228T000300Z.log,runs/compiled-binary-helios-20260228T000300Z
24,28,3689.088,unstable,396,5179,perf/run-20260228T000306Z.log,runs/compiled-binary-helios-20260228T000306Z
28,16,3642.959,unstable,298,5221,perf/run-20260228T000311Z.log,runs/compiled-binary-helios-20260228T000311Z
28,20,3827.136,unstable,327,5038,perf/run-20260228T000317Z.log,runs/compiled-binary-helios-20260228T000317Z
28,24,3577.065,smoke_fail,301,5311,perf/run-20260228T000322Z.log,runs/compiled-binary-helios-20260228T000322Z
28,28,3470.338,smoke_fail,303,5397,perf/run-20260228T000328Z.log,runs/compiled-binary-helios-20260228T000328Z
32,16,4089.072,unstable,302,4789,perf/run-20260228T000334Z.log,runs/compiled-binary-helios-20260228T000334Z
32,20,3461.553,unstable,305,5405,perf/run-20260228T000339Z.log,runs/compiled-binary-helios-20260228T000339Z
32,24,3582.250,unstable,309,5308,perf/run-20260228T000345Z.log,runs/compiled-binary-helios-20260228T000345Z
32,28,3465.855,unstable,305,5483,perf/run-20260228T000350Z.log,runs/compiled-binary-helios-20260228T000350Z
36,16,3656.583,unstable,305,5196,perf/run-20260228T000356Z.log,runs/compiled-binary-helios-20260228T000356Z
36,20,3496.687,ok,336,5383,perf/run-20260228T000402Z.log,runs/compiled-binary-helios-20260228T000402Z
36,24,3479.443,ok,295,5355,perf/run-20260228T000407Z.log,runs/compiled-binary-helios-20260228T000407Z
36,28,3915.824,unstable,300,4979,perf/run-20260228T000413Z.log,runs/compiled-binary-helios-20260228T000413Z
40,16,3252.180,ok,333,5698,perf/run-20260228T000418Z.log,runs/compiled-binary-helios-20260228T000418Z
40,20,3934.066,unstable,340,5020,perf/run-20260228T000424Z.log,runs/compiled-binary-helios-20260228T000424Z
40,24,3616.830,unstable,303,5282,perf/run-20260228T000430Z.log,runs/compiled-binary-helios-20260228T000430Z
40,28,3336.483,smoke_fail,316,5649,perf/run-20260228T000435Z.log,runs/compiled-binary-helios-20260228T000435Z
